Centre_id,Centres,Lat,Lon
centre1,St. John's,47.5614705,-52.7126162
centre2,Halifax,44.648618,-63.5859487
centre3,Moncton,46.097995,-64.80011
centre4,Saint John,45.3411746,-65.7634472
centre5,Saguenay,48.405959,-71.069183
centre6,Montréal,45.5031824,-73.5698065
centre7,Gatineau,45.4277659,-75.710976
centre8,Québec,46.8137431,-71.2084061
centre9,Sherbrooke,45.403271,-71.889038
centre10,Trois-Rivières,46.3432325,-72.5428485
centre11,Barrie,44.3893113,-79.6901736
centre12,Belleville,44.2436328,-77.3607597
centre13,Brantford,43.1408157,-80.2631733
centre14,Guelph,43.5460516,-80.2493276
centre15,Hamilton,43.2560802,-79.8728583
centre16,Kingston,44.3054151,-76.4283781
centre17,Kitchener - Cambridge - Waterl,43.418345,-80.468831
centre18,London,42.9832406,-81.243372
centre19,St. Catharines - Niagara,43.1579812,-79.2441003
centre20,Oshawa,43.8975558,-78.8635324
centre21,Ottawa,45.4208777,-75.6901106
centre22,Peterborough,44.3048009,-78.3199496
centre23,Greater Sudbury / Grand Sudbur,46.577851,-81.00786
centre24,Thunder Bay,48.406414,-89.259796
centre25,Toronto,43.6534817,-79.3839347
centre26,Windsor,42.2858536,-82.9780695
centre27,Winnipeg,49.8955367,-97.1384584
centre28,Regina,50.44876,-104.61731
centre29,Saskatoon,52.131802,-106.660767
centre30,Calgary,51.0460954,-114.065465
centre31,Edmonton,53.5462055,-113.491241
centre32,Lethbridge,49.6945782,-112.8331033
centre33,Abbotsford - Mission,49.071653,-122.269288
centre34,Kelowna,49.8879177,-119.495902
centre35,Vancouver,49.2608724,-123.113952
centre36,Victoria,48.4283182,-123.3649533
