ID,Province,Centres,Zones,Neighbourhood,Year,Centre_id,Zone_id,AR Bachelor,AR 1 Bedroom,AR 2 Bedroom,AR 3 Bedroom +,AR Total,VR Bachelor,VR 1 Bedroom,VR 2 Bedroom,VR 3 Bedroom +,VR Total,Units Bachelor,Units 1 Bedroom,Units 2 Bedroom,Units 3 Bedroom +,Units Total
ID_1,Nfld.Lab.,St. John's,St. John's East,St. John's East,2018,centre1,Zone1,0.0,783.0,943.0,0.0,1166.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,16.0,16.0,55.0
ID_2,Nfld.Lab.,St. John's,St. John's East,St. John's East,2018,centre1,Zone1,664.0,829.0,1049.0,1002.0,941.0,0.0,3.9,6.4,5.2,5.6,203.0,641.0,1015.0,107.0,1966.0
ID_3,Nfld.Lab.,St. John's,St. John's West,St. John's West,2018,centre1,Zone2,0.0,0.0,743.0,0.0,576.0,0.0,0.0,0.0,0.0,1.5,0.0,46.0,21.0,0.0,67.0
ID_4,Nfld.Lab.,St. John's,St. John's West,St. John's West,2018,centre1,Zone2,762.0,773.0,881.0,959.0,839.0,3.9,6.1,6.1,0.0,6.2,149.0,427.0,859.0,126.0,1561.0
ID_5,Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,2018,centre1,Zone3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,6.0,70.0
ID_6,Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,2018,centre1,Zone3,0.0,720.0,715.0,677.0,709.0,0.0,4.5,0.0,0.0,0.0,7.0,147.0,182.0,63.0,399.0
ID_7,N.S.,Halifax,Peninsula South,Downtown Halifax,2018,centre2,Zone4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,11.0
ID_8,N.S.,Halifax,Peninsula South,Downtown Halifax,2018,centre2,Zone4,978.0,1202.0,1774.0,2099.0,1436.0,0.7,1.1,1.1,1.4,1.1,318.0,1683.0,1088.0,220.0,3309.0
ID_9,N.S.,Halifax,Peninsula South,South End,2018,centre2,Zone4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,8.0,24.0
ID_10,N.S.,Halifax,Peninsula South,South End,2018,centre2,Zone4,856.0,1120.0,1515.0,1852.0,1197.0,1.2,0.8,1.4,1.2,1.1,918.0,2342.0,1283.0,145.0,4688.0
ID_11,N.S.,Halifax,Peninsula South,Peninsula Southwest,2018,centre2,Zone4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_12,N.S.,Halifax,Peninsula South,Peninsula Southwest,2018,centre2,Zone4,757.0,963.0,1395.0,1722.0,1210.0,1.6,1.1,0.7,0.0,1.1,132.0,430.0,330.0,167.0,1059.0
ID_13,N.S.,Halifax,Peninsula North,Peninsula Northwest,2018,centre2,Zone5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,7.0,16.0,21.0,44.0
ID_14,N.S.,Halifax,Peninsula North,Peninsula Northwest,2018,centre2,Zone5,752.0,916.0,1144.0,1478.0,1060.0,0.6,1.1,0.8,0.0,1.1,285.0,1235.0,1672.0,233.0,3425.0
ID_15,N.S.,Halifax,Peninsula North,North End,2018,centre2,Zone5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,9.0
ID_16,N.S.,Halifax,Peninsula North,North End,2018,centre2,Zone5,814.0,982.0,1216.0,1194.0,1109.0,0.0,0.2,1.6,0.0,1.1,211.0,1006.0,1641.0,199.0,3057.0
ID_17,N.S.,Halifax,Mainland South,Armdale,2018,centre2,Zone6,0.0,0.0,0.0,1570.0,1570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0
ID_18,N.S.,Halifax,Mainland South,Armdale,2018,centre2,Zone6,1088.0,787.0,1270.0,0.0,1148.0,0.0,0.0,0.4,0.0,0.3,22.0,72.0,254.0,13.0,361.0
ID_19,N.S.,Halifax,Mainland South,Spryfield/Herring Cove,2018,centre2,Zone6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,25.0
ID_20,N.S.,Halifax,Mainland South,Spryfield/Herring Cove,2018,centre2,Zone6,598.0,686.0,893.0,1036.0,823.0,0.0,1.2,1.6,1.1,1.4,32.0,903.0,1211.0,179.0,2325.0
ID_21,N.S.,Halifax,Mainland North,Fairmount,2018,centre2,Zone7,0.0,0.0,0.0,1684.0,1684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,24.0
ID_22,N.S.,Halifax,Mainland North,Fairmount,2018,centre2,Zone7,0.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,133.0,162.0,12.0,314.0
ID_23,N.S.,Halifax,Mainland North,Fairview,2018,centre2,Zone7,0.0,0.0,1252.0,0.0,1252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0
