Neighbourhood_id,Neighbourhood
Neighbourhood1,St. John's East
Neighbourhood2,St. John's West
Neighbourhood3,Remainder of CMA
Neighbourhood4,Downtown Halifax
Neighbourhood5,South End
Neighbourhood6,Peninsula Southwest
Neighbourhood7,Peninsula Northwest
Neighbourhood8,North End
Neighbourhood9,Armdale
Neighbourhood10,Spryfield/Herring Cove
Neighbourhood11,Fairmount
Neighbourhood12,Fairview
Neighbourhood13,Clayton Park/Rockingham
Neighbourhood14,Bedford South
Neighbourhood15,Wyse Road
Neighbourhood16,Albro Lake/Lake Banook
Neighbourhood17,Burnside/Tufts Cove
Neighbourhood18,Downtown Dartmouth
Neighbourhood19,Woodside/Eastern Passage
Neighbourhood20,Portland Estates/Morris Lake
Neighbourhood21,Woodlawn/Forest Hills/Port Wallace
Neighbourhood22,Cole Harbour
Neighbourhood23,Bedford
Neighbourhood24,Sackville
Neighbourhood25,Timberlea/Beechville
Neighbourhood26,Hammonds Plains
Neighbourhood27,Herring Cove/Terence Bay/Prospect etc.
Neighbourhood28,Waverley/Fall River/Beaverbank
Neighbourhood29,Halifax County East
Neighbourhood30,Downtown Moncton
Neighbourhood31,Garden Hill
Neighbourhood32,West Moncton
Neighbourhood33,Sunny Brae
Neighbourhood34,Lewisville/Harrisville
Neighbourhood35,Humphrey
Neighbourhood36,Magnetic Hill/Irishtown
Neighbourhood37,Parkton
Neighbourhood38,North End/Ryan Road/Hildegarde
Neighbourhood39,Riverview
Neighbourhood40,Downtown Dieppe
Neighbourhood41,St. Anselme
Neighbourhood42,Fox Creek/Lakeburn
Neighbourhood43,Southern Remainder of Moncton CMA
Neighbourhood44,Northern Remainder of Moncton CMA
Neighbourhood45,Uptown
Neighbourhood46,West
Neighbourhood47,Indian Town
Neighbourhood48,Millidgeville
Neighbourhood49,East
Neighbourhood50,Rothesay
Neighbourhood51,Quipspamsis
Neighbourhood52,Saint Martins/Hampton
Neighbourhood53,Eastern Saint John CMA
Neighbourhood54,Chicoutimi-Nord
Neighbourhood55,Northern Outskirts
Neighbourhood56,Chicoutimi Downtown
Neighbourhood57,Chicoutimi-Sud
Neighbourhood58,Jonquière Downtown
Neighbourhood59,Jonquière
Neighbourhood60,Southern Outskirts
Neighbourhood61,La Baie
Neighbourhood62,Ville-Marie
Neighbourhood63,Île-des-Soeurs
Neighbourhood64,Verdun
Neighbourhood65,South West
Neighbourhood66,LaSalle
Neighbourhood67,Westmount
Neighbourhood68,Notre-Dame-de-Grâce
Neighbourhood69,Hampstead/Côte-Saint-Luc
Neighbourhood70,Côte-Saint-Luc/Montreal West
Neighbourhood71,Côte-des-Neiges
