Units_ID,Province,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,Neighbourhood_id,Dwelling_id
Units_1,Nfld.Lab.,1.0,22.0,16.0,16.0,55.0,2018,centre1,Zone1,Neighbourhood1,Dwelling1
Units_2,Nfld.Lab.,203.0,641.0,1015.0,107.0,1966.0,2018,centre1,Zone1,Neighbourhood1,Dwelling2
Units_3,Nfld.Lab.,0.0,46.0,21.0,0.0,67.0,2018,centre1,Zone2,Neighbourhood2,Dwelling1
Units_4,Nfld.Lab.,149.0,427.0,859.0,126.0,1561.0,2018,centre1,Zone2,Neighbourhood2,Dwelling2
Units_5,Nfld.Lab.,0.0,0.0,64.0,6.0,70.0,2018,centre1,Zone3,Neighbourhood3,Dwelling1
Units_6,Nfld.Lab.,7.0,147.0,182.0,63.0,399.0,2018,centre1,Zone3,Neighbourhood3,Dwelling2
Units_7,N.S.,0.0,4.0,2.0,5.0,11.0,2018,centre2,Zone4,Neighbourhood4,Dwelling1
Units_8,N.S.,318.0,1683.0,1088.0,220.0,3309.0,2018,centre2,Zone4,Neighbourhood4,Dwelling2
Units_9,N.S.,8.0,4.0,4.0,8.0,24.0,2018,centre2,Zone4,Neighbourhood5,Dwelling1
Units_10,N.S.,918.0,2342.0,1283.0,145.0,4688.0,2018,centre2,Zone4,Neighbourhood5,Dwelling2
Units_11,N.S.,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone4,Neighbourhood6,Dwelling1
Units_12,N.S.,132.0,430.0,330.0,167.0,1059.0,2018,centre2,Zone4,Neighbourhood6,Dwelling2
Units_13,N.S.,0.0,7.0,16.0,21.0,44.0,2018,centre2,Zone5,Neighbourhood7,Dwelling1
Units_14,N.S.,285.0,1235.0,1672.0,233.0,3425.0,2018,centre2,Zone5,Neighbourhood7,Dwelling2
Units_15,N.S.,0.0,5.0,2.0,2.0,9.0,2018,centre2,Zone5,Neighbourhood8,Dwelling1
Units_16,N.S.,211.0,1006.0,1641.0,199.0,3057.0,2018,centre2,Zone5,Neighbourhood8,Dwelling2
Units_17,N.S.,0.0,0.0,0.0,20.0,20.0,2018,centre2,Zone6,Neighbourhood9,Dwelling1
Units_18,N.S.,22.0,72.0,254.0,13.0,361.0,2018,centre2,Zone6,Neighbourhood9,Dwelling2
Units_19,N.S.,0.0,0.0,12.0,13.0,25.0,2018,centre2,Zone6,Neighbourhood10,Dwelling1
Units_20,N.S.,32.0,903.0,1211.0,179.0,2325.0,2018,centre2,Zone6,Neighbourhood10,Dwelling2
Units_21,N.S.,0.0,0.0,8.0,16.0,24.0,2018,centre2,Zone7,Neighbourhood11,Dwelling1
Units_22,N.S.,7.0,133.0,162.0,12.0,314.0,2018,centre2,Zone7,Neighbourhood11,Dwelling2
Units_23,N.S.,0.0,0.0,24.0,0.0,24.0,2018,centre2,Zone7,Neighbourhood12,Dwelling1
Units_24,N.S.,18.0,557.0,1220.0,126.0,1921.0,2018,centre2,Zone7,Neighbourhood12,Dwelling2
Units_25,N.S.,0.0,17.0,38.0,141.0,196.0,2018,centre2,Zone7,Neighbourhood13,Dwelling1
Units_26,N.S.,340.0,2546.0,5152.0,1117.0,9155.0,2018,centre2,Zone7,Neighbourhood13,Dwelling2
Units_27,N.S.,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone7,Neighbourhood14,Dwelling1
Units_28,N.S.,20.0,605.0,1690.0,250.0,2565.0,2018,centre2,Zone7,Neighbourhood14,Dwelling2
Units_29,N.S.,0.0,0.0,4.0,2.0,6.0,2018,centre2,Zone8,Neighbourhood15,Dwelling1
Units_30,N.S.,38.0,428.0,714.0,40.0,1220.0,2018,centre2,Zone8,Neighbourhood15,Dwelling2
Units_31,N.S.,0.0,0.0,0.0,3.0,3.0,2018,centre2,Zone8,Neighbourhood16,Dwelling1
Units_32,N.S.,17.0,490.0,790.0,164.0,1461.0,2018,centre2,Zone8,Neighbourhood16,Dwelling2
Units_33,N.S.,1.0,16.0,2.0,19.0,38.0,2018,centre2,Zone8,Neighbourhood17,Dwelling1
Units_34,N.S.,143.0,2162.0,1805.0,137.0,4247.0,2018,centre2,Zone8,Neighbourhood17,Dwelling2
Units_35,N.S.,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone9,Neighbourhood18,Dwelling1
Units_36,N.S.,42.0,932.0,1004.0,276.0,2254.0,2018,centre2,Zone9,Neighbourhood18,Dwelling2
Units_37,N.S.,0.0,0.0,0.0,6.0,6.0,2018,centre2,Zone9,Neighbourhood19,Dwelling1
Units_38,N.S.,48.0,278.0,548.0,20.0,894.0,2018,centre2,Zone9,Neighbourhood19,Dwelling2
Units_39,N.S.,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone10,Neighbourhood20,Dwelling1
Units_40,N.S.,5.0,149.0,695.0,18.0,867.0,2018,centre2,Zone10,Neighbourhood20,Dwelling2
Units_41,N.S.,0.0,2.0,6.0,17.0,25.0,2018,centre2,Zone10,Neighbourhood21,Dwelling1
Units_42,N.S.,5.0,320.0,712.0,123.0,1160.0,2018,centre2,Zone10,Neighbourhood21,Dwelling2
Units_43,N.S.,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone10,Neighbourhood22,Dwelling1
Units_44,N.S.,4.0,12.0,284.0,7.0,307.0,2018,centre2,Zone10,Neighbourhood22,Dwelling2
Units_45,N.S.,0.0,0.0,5.0,5.0,10.0,2018,centre2,Zone11,Neighbourhood23,Dwelling1
Units_46,N.S.,27.0,227.0,1384.0,251.0,1889.0,2018,centre2,Zone11,Neighbourhood23,Dwelling2
Units_47,N.S.,0.0,0.0,31.0,23.0,54.0,2018,centre2,Zone12,Neighbourhood24,Dwelling1
Units_48,N.S.,5.0,259.0,968.0,203.0,1435.0,2018,centre2,Zone12,Neighbourhood24,Dwelling2
Units_49,N.S.,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,Neighbourhood25,Dwelling1
Units_50,N.S.,0.0,77.0,192.0,0.0,269.0,2018,centre2,Zone3,Neighbourhood25,Dwelling2
Units_51,N.S.,0.0,0.0,25.0,0.0,25.0,2018,centre2,Zone3,Neighbourhood26,Dwelling1
