VR_ID,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Province_id,Centre_id,Zone_id,Neighbourhood_id,Dwelling_id
VR_1,0.0,0.0,0.0,0.0,0.0,2018,Province1,centre1,Zone1,Neighbourhood1,Dwelling1
VR_2,0.0,3.9,6.4,5.2,5.6,2018,Province1,centre1,Zone1,Neighbourhood1,Dwelling2
VR_3,0.0,0.0,0.0,0.0,1.5,2018,Province1,centre1,Zone2,Neighbourhood2,Dwelling1
VR_4,3.9,6.1,6.1,0.0,6.2,2018,Province1,centre1,Zone2,Neighbourhood2,Dwelling2
VR_5,0.0,0.0,0.0,0.0,0.0,2018,Province1,centre1,Zone3,Neighbourhood3,Dwelling1
VR_6,0.0,4.5,0.0,0.0,0.0,2018,Province1,centre1,Zone3,Neighbourhood3,Dwelling2
VR_7,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone4,Neighbourhood4,Dwelling1
VR_8,0.7,1.1,1.1,1.4,1.1,2018,Province2,centre2,Zone4,Neighbourhood4,Dwelling2
VR_9,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone4,Neighbourhood5,Dwelling1
VR_10,1.2,0.8,1.4,1.2,1.1,2018,Province2,centre2,Zone4,Neighbourhood5,Dwelling2
VR_11,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone4,Neighbourhood6,Dwelling1
VR_12,1.6,1.1,0.7,0.0,1.1,2018,Province2,centre2,Zone4,Neighbourhood6,Dwelling2
VR_13,0.0,0.0,0.0,0.0,2.3,2018,Province2,centre2,Zone5,Neighbourhood7,Dwelling1
VR_14,0.6,1.1,0.8,0.0,1.1,2018,Province2,centre2,Zone5,Neighbourhood7,Dwelling2
VR_15,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone5,Neighbourhood8,Dwelling1
VR_16,0.0,0.2,1.6,0.0,1.1,2018,Province2,centre2,Zone5,Neighbourhood8,Dwelling2
VR_17,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone6,Neighbourhood9,Dwelling1
VR_18,0.0,0.0,0.4,0.0,0.3,2018,Province2,centre2,Zone6,Neighbourhood9,Dwelling2
VR_19,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone6,Neighbourhood10,Dwelling1
VR_20,0.0,1.2,1.6,1.1,1.4,2018,Province2,centre2,Zone6,Neighbourhood10,Dwelling2
VR_21,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone7,Neighbourhood11,Dwelling1
VR_22,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone7,Neighbourhood11,Dwelling2
VR_23,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone7,Neighbourhood12,Dwelling1
VR_24,0.0,2.8,1.4,0.0,1.7,2018,Province2,centre2,Zone7,Neighbourhood12,Dwelling2
VR_25,0.0,0.0,0.0,0.7,0.5,2018,Province2,centre2,Zone7,Neighbourhood13,Dwelling1
