Zone_id,Zones,Lat,Lon
Zone1,St. John's East,40.55588,-84.08356
Zone2,St. John's West,40.55588,-84.08356
Zone3,Remainder of CMA,,
Zone4,Peninsula South,45.28654565,-81.69690831989215
Zone5,Peninsula North,41.491682,-81.696249
Zone6,Mainland South,-6.28862,106.71789
Zone7,Mainland North,48.827532,-123.667755
Zone8,Dartmouth North,44.6799707,-63.5720232
Zone9,Dartmouth South,44.6799707,-63.5720232
Zone10,Dartmouth East,37.241279,-121.896243
Zone11,Bedford,44.7303901,-63.6582365
Zone12,Sackville,45.8999177,-64.3655256
Zone13,Central Moncton,46.097995,-64.80011
Zone14,West Moncton,46.097995,-64.80011
Zone15,East Moncton,46.097995,-64.80011
Zone16,North Moncton,46.097995,-64.80011
Zone17,Riverview,46.0612076,-64.8033246
Zone18,Dieppe City,46.087332,-64.713891
Zone19,South,43.506433,-80.218968
Zone20,West,50.8486905,2.9463932
Zone21,North,43.572112,-80.248328
Zone22,East,43.597482,-81.306542
Zone23,Outlying Areas,,
Zone24,North Sector,48.827532,-123.667755
Zone25,Chicoutimi-Sud,48.433309,-71.066706
Zone26,Jonquière,48.405959,-71.069183
Zone27,La Baie,45.365147199999996,-75.84126216589354
Zone28,Downtown Montréal/Îles-des-Soeurs,42.312852,-83.03605
Zone29,Sud-Ouest/Verdun,45.459078,-73.5731774
Zone30,LaSalle,42.21807995,-83.06409000924808
Zone31,ND-de-Grâce/Ct-St-Luc etc.,,
Zone32,Ct-des-Neiges/Mt-Royal/Outremont,,
Zone33,Plateau-Mont-Royal,45.523889,-73.578776
Zone34,Villeray/St-Michel/Pc-Extension,50.745226,2.260741
Zone35,Hochelaga-Maisonneuve,45.55865,-73.53736
Zone36,Rosemont/La Petite-Patrie,45.5445431,-73.58347499021464
Zone37,Anjou/Saint-Léonard,45.60008,-73.54917
Zone38,Montréal-Nord,45.5938992,-73.6376062
Zone39,Ahuntsic/Cartierville,45.5418621,-73.6803193
Zone40,Saint-Laurent,45.5088774,-73.6875187
Zone41,Dorval/Lachine/Saint-Pierre,47.44778,-77.07806
Zone42,Baie-d'Urfé/Beaconsfield etc.,52.864899,-74.520074
Zone43,Sainte-Geneviève/Senneville etc.,49.7369,1.0325
Zone44,Mercier,45.310444,-73.746051
Zone45,Pte-aux-Trembles/Montréal-E etc.,46.47361,-84.46611
Zone46,Chomedey/Sainte-Dorothée,45.53338,-73.81589
Zone47,Laval-des-Rapides,45.5564172,-73.7005593
Zone48,Pont-Viau,45.571727,-73.6802464
Zone49,St-François/St-Vincent/Duvernay,46.0637,-72.81906
Zone50,Vimont/Auteuil,45.612091,-73.728793
Zone51,Laval-Ouest/Fabreville/Ste-Rose,45.55008,-73.86589
Zone52,Mirabel/Oka/Pointe-Calumet etc.,,
Zone53,Blainville/Ste-Thérèse etc.,45.688505,-73.853123
Zone54,Mascouche/Terrebonne etc.,45.76131,-73.608999
Zone55,L'Assomption/Lavaltrie etc.,45.876281,-73.413012
Zone56,St-Jérôme/Gore/St-Colomban etc.,45.785621,-74.016301
Zone57,Longueuil,45.521906,-73.4644578
Zone58,Boucherville/Brossard etc.,45.596742,-73.426916
Zone59,Beauharnois/La Prairie/Léry etc.,46.64264,-60.96583
Zone60,Beloeil/McMasterville etc.,45.582563,-73.212892
Zone61,Carignan/Chambly/St-Mathias etc.,,
Zone62,ND-de-L'île-Perrot/Pincourt etc.,52.233934,11.523874
Zone63,Saint-Jean,46.921801,-70.889475
Zone64,Iberville,45.3039219,-73.2297415
Zone65,Saint-Luc,45.3621422,-73.3036849
Zone66,Saint-Lin–Laurentides V,45.571593,-73.947887
Zone67,Hull,45.4405842,-75.7326823
Zone68,Aylmer,42.773227,-80.983658
Zone69,Gatineau,45.4277659,-75.710976
Zone70,Peripheral,,
Zone71,Haute-Ville,49.21679,-66.06548
Zone72,Basse-Ville,45.4324898,-75.6893758
Zone73,Sainte-Foy-Sillery,45.40008,-73.58248
