Centre_id,Centres
centre1,St. John's
centre2,Halifax
centre3,Moncton
centre4,Saint John
centre5,Saguenay
centre6,Montréal
centre7,Gatineau
centre8,Québec
centre9,Sherbrooke
centre10,Trois-Rivières
centre11,Barrie
centre12,Belleville
centre13,Brantford
centre14,Guelph
centre15,Hamilton
centre16,Kingston
centre17,Kitchener - Cambridge - Waterl
centre18,London
centre19,St. Catharines - Niagara
centre20,Oshawa
centre21,Ottawa
centre22,Peterborough
centre23,Greater Sudbury / Grand Sudbur
centre24,Thunder Bay
centre25,Toronto
centre26,Windsor
centre27,Winnipeg
centre28,Regina
centre29,Saskatoon
centre30,Calgary
centre31,Edmonton
centre32,Lethbridge
centre33,Abbotsford - Mission
centre34,Kelowna
centre35,Vancouver
centre36,Victoria
